あい	阿井,愛,曾,相,藍,會
たかおき	高沖
たかおく	高奥
たかおや	高尾屋
たかおり	高折
たかかい	鷹飼
たかかど	高門
たかがい	髙階,高貝
たかがき	髙垣,高垣,高柿
たかがね	高金
たかがみ	高上,高神
たかがわ	高河,高川,鷹川
たかき	髙木,高城,高木,鷹木
たかきた	高北
たかきゅう	高久
たかぎ	髙城,髙木,高儀,高樹,高城,高木,鷹木,都木,堂城
たかぎし	髙岸,高岸
たかぎり	髙桐
たかぎわ	高際
たかく	髙久,高久
たかくさ	髙草,高草,高艸
たかくさき	髙草木,高草木
たかくさぎ	高草木
たかくす	高楠
たかくだ	高久田
たかくち	高口
たかくぼ	髙窪,高窪
たかくま	髙熊,高熊
たかくも	高雲
たかくら	髙倉,高倉,大下倉
たかくわ	高桑,高鍬
たかぐ	高具
たかぐち	高口
たかけ	高家
たかこ	高子
たかこう	高好
たかごう	鷹郷,鷹合
たかごし	髙越,高越
たかさ	高佐
たかさお	高棹
たかさか	髙坂,高坂
たかさき	髙﨑,髙崎,高﨑,高崎,高碕,高嵜,鷹崎
たかさく	高作
たかさご	髙砂,高砂
たかさと	高里
たかさわ	髙澤,高沢,高澤,鷹澤
たかざき	高崎
たかざくら	高櫻
たかざと	高里
たかざわ	髙澤,高沢,高澤,鷹澤
たかし	髙士,髙師,尭,高,高士,高師,高志,尚,隆
たかしお	髙塩,高塩
たかしか	高鹿
たかしげ	髙重,高重,高茂
たかした	高下
たかしな	髙階,髙品,高科,高階,高品
たかしの	髙篠,高篠
たかしば	髙柴,髙芝,高柴,高芝
たかしま	髙島,高島,高嶋,高嶌,崇島,鷹島,鷹嶋
たかしみず	髙清水,高清水
たかしょう	高庄,高祥,高正,鷹松
たかしろ	髙城,高城,高代,鷹城
たかじ	髙治,高治
たかじつこ	髙實子
たかじょう	髙城,高乗,高城,鷹匠
たかす	髙須,高洲,高須,高栖,高巣,多賀須,鷹栖,鷹巣
たかすえ	高江洲
たかすか	髙須賀,高須賀
たかすが	髙須賀,高須賀,高菅
たかすぎ	髙杉,高杉
たかすすき	高薄
たかすな	髙砂,高砂
たかずき	高椙
たかせ	髙世,髙瀬,高世,高瀬,高清
たかせき	高堰,高関
たかそ	高僧
たかそう	高僧,高相,鷹左右
たかそね	高曽根
たかぞえ	髙添,高添
たかぞの	高園
たかた	髙多,髙田,高多,高田,鷹田,田片
たかたけ	高竹
たかたに	髙谷,高谷
たかたま	高玉
たかたや	高谷
たかだ	髙田,貴田,高田,鷹田
たかだち	高舘
たかだて	高館,高舘
たかだま	髙玉,高玉
たかち	髙地,高地,高智
たかちお	高知尾
たかちほ	高千穂
たかちょう	高蝶
たかつ	髙津,髙都,高津,鷹津
たかつか	髙塚,髙塚,高塚,高塚
たかつかさ	高務,鷹司
たかつき	髙月,高月,高槻,高附
たかつぎ	高次
たかつじ	髙辻,高辻
たかつと	高津戸
たかつな	髙綱,高綱
たかつぼ	高坪
たかづつ	高筒
たかてら	高寺
たかで	高出
たかでら	髙寺,高寺
たかと	髙戸,高遠,高戸,高都
たかとう	髙頭,高遠,高東,高筒,高藤,高頭
たかとお	髙遠,高遠
たかとく	高徳
たかとみ	高冨
たかとや	高戸谷
たかとり	髙取,髙鳥,高取,高鳥,鷹取
たかど	高戸,高土
たかどい	高土居,高樋
たかどう	髙堂,高堂,高道
たかどの	高殿
たかな	高那,高名
たかなか	髙中,高仲
たかなが	髙永,髙長,高永,高長
たかなし	髙梨,高無,高梨,小鳥遊,雀遊,鳥楽
たかなべ	高鍋
たかなみ	髙波,髙浪,高波,高浪
たかなり	髙成,高成
たかなりた	高成田
たかなわ	高索,高縄
たかに	髙荷,高荷,高仁
たかにし	髙西,高西,鷹西
たかぬき	高貫
たかぬま	高沼
たかね	髙根,高根
たかねざわ	高根沢,高根澤
たかの	髙野,高埜,高納,高野,鷹野
たかのう	高納
たかのうち	高野内
たかのくら	高野倉
たかのざわ	高野沢
たかのし	髙野子
たかのす	鷹栖
たかのせ	高野瀬
たかのは	鷹羽
たかのはし	髙野橋,高野橋,鷹箸,鷹嘴,鷹觜
たかのはら	鷹野原
たかのぶ	髙信,高信
たかのべ	高野辺
たかのみや	髙野宮,高野宮
たかのやま	高ノ山,高野山
たかのり	高乗
たかは	高羽,鷹羽
たかはぎ	高萩
たかはし	髙橋,孝橋,高階,高橋,高端,鷹橋,鷹箸,鷹觜
たかはた	髙畑,髙畠,高畑,高畠
たかはま	髙浜,髙濱,高浜,高濱
たかはら	髙原,高原,嵩原
たかはり	高張
たかば	高羽,高場,鷹羽,鷹場,竹迫
たかばたけ	髙畠,高畑,高畠
たかばやし	髙林,高林,鷹林
たかひ	髙樋,高日,高比,高樋
たかひさ	高久
たかひざ	高比座
たかひで	髙秀,高秀
たかひら	髙比良,高比来,高比良,高平
たかひろ	高広,高廣
たかふじ	髙藤,高藤
たかふち	高渕
たかぶき	高吹
たかぶち	高淵,高渕
たかへい	髙幣,高幣,高幤
たかべ	髙部,高倍,高部,高邉
たかほこ	鷹架
たかほし	高星
たかほり	高堀
たかぼり	高堀
たかま	髙間,高間,高天,高麗
たかまえだ	高前田
たかまがり	高曲
たかまぎ	高間木
たかまさ	高正,賞雅
たかます	高升,高舛,高増
たかまた	鷹股
たかまち	高町
たかまつ	髙松,髙柗,高松,鷹松
たかまる	髙丸,高丸
たかまん	高満
たかみ	髙見,髙味,高見,高美,高味,鷹見
たかみさわ	髙見澤,高見沢,高見澤
たかみざわ	髙見沢,髙見澤,（百貨店・高島屋の立）見澤,高見沢,高見澤
たかみず	高水
たかみぞ	高溝
たかみち	髙道,高道
たかみつ	髙光,高光
たかみどう	高御堂
たかみどり	髙緑,高緑
たかみね	髙嶺,高峰,高峯,高嶺,鷹峰
たかみや	髙宮,高宮
たかみやぎ	髙宮城,高宮城
たかむき	高向
たかむく	髙椋,高向,高椋
たかむね	髙宗,高宗
たかむら	髙村,（竹かんむりに屋）,（竹冠に屋・一文字）,貴村,高村,高邑,高落,崇村,鷹村,田加村,宝村,篁,箼
たかむれ	髙群,高群,高牟礼,高牟禮
たかむろ	髙室,高室
たかめ	髙目
たかもと	髙元,髙本,高元,高本,鷹本
たかもり	髙森,高守,高森,高盛
たかや	髙屋,髙谷,髙矢,高屋,高家,高谷,高矢,鷹屋,鷹谷
たかやしき	髙屋敷,高屋敷,高屋舗,高屋舖
たかやす	髙安,高安
たかやすみ	鷹休
たかやなぎ	高柳
たかやぶ	高薮,高藪
たかやま	髙山,高山
たかよし	高吉
たかよせ	高寄
たから	髙良,高良,財,多嘉良,宝,寶,寳,鈩
たからい	宝井,宝居
たからぎ	宝樹,宝木,寶來
たからざわ	宝沢
たからじま	宝島,寳島
たからだ	財田,宝田,寶田,寳田
たからべ	財部
たからもと	宝本
たかりき	高力
たかりこ	田苅子
たかわ	髙輪,高輪,高和
たかわし	高鷲
たかわたり	髙渡
たが	多嘉,多賀,田賀
たがい	互,多賀井,多貝,田賀井,田貝
たがいと	多賀糸,田垣内
たがいの	互野
たがえとう	田替藤
たがき	太垣,田垣
たがしら	田頭
たがた	田形,田方
たがたに	多賀谷
たがね	田金
たがの	多賀野,田賀農
たがみ	田上
たがや	多ヶ谷,多加谷,多賀谷,達谷窟,田ケ谷,田ヶ谷,田加谷
たがりこ	田刈子
たがわ	多河,多川,太川,田河,田川,夛川
たがん	田雁
たき	髙城,高城,多喜,多紀,多木,多氣,太記,滝,瀧
たきい	滝井,瀧井
たきいし	滝石,瀧石
たきうえ	瀧上
たきうち	滝内,瀧内
たきうら	滝浦,瀧浦
たきえ	滝江
たきお	瀧尾
たきおか	瀧岡
たきおく	滝奥
たきおと	瀧音
たきかわ	滝川,瀧川
たきがいと	滝垣内
たきがさき	瀧ヶ崎
たきがしら	滝頭
たきがひら	滝ヶ平,瀧ケ平,瀧ヶ平
たきがみ	滝上,瀧上
たきがわ	滝川,瀧川
たききた	瀧北
たきぎく	滝聞,瀧聞
たきぎり	瀧桐
たきくら	瀧倉
たきぐち	滝口,瀧口
たきさわ	滝澤
たきざき	滝崎
たきざわ	滝沢,滝澤,瀧沢,瀧澤
たきした	滝下,瀧下
たきしま	滝島,滝嶌,瀧島
たきしろ	滝代
たきじま	瀧島
たきじり	瀧尻
たきせ	滝瀬,瀧瀬
たきた	多喜田,滝田,瀧田,田北,龍田
たきたに	滝谷,瀧谷
たきだいら	滝平
たきつか	瀧塚
たきでら	滝寺,瀧寺
たきと	滝戸
たきとう	滝藤,瀧藤
たきど	滝戸,瀧戸
たきなが	瀧永
たきなみ	滝波,滝浪,瀧波,瀧浪
たきね	瀧根
たきの	多喜乃,滝野,瀧埜,瀧野
たきのさわ	滝野沢,滝野澤
たきはた	瀧畑
たきはな	滝華,滝鼻,瀧花,瀧華
たきはら	瀧原
たきば	滝場
たきばた	多喜端,瀧端
たきばやし	滝林,瀧林
たきひ	瀧日
たきひら	滝平
たきふか	滝深
たきふじ	瀧藤
たきぶち	瀧渕
たきまえ	瀧前
たきみず	滝水
たきみや	瀧宮
たきむら	滝村
たきもと	滝本,瀧元,瀧源,瀧本
たきもり	滝森,瀧森
たきや	滝谷,瀧屋,瀧谷
たきやなぎ	瀧栁
たきやま	多幾山,滝山,瀧山
たきゅう	田久,武弓,武生
たきょう	田京
たきよし	滝吉
たきらい	滝来
たきわき	滝脇,瀧脇
たぎ	多岐,田儀,田木
たぎく	多菊
たぎし	田岸
たぎり	田桐,田切
たく	多久,宅,度
たくい	工位
たくいし	宅石
たくさかわ	田草川
たくさがわ	田草川
たくさり	田鎖
たくざき	宅崎
たくし	沢岻,澤岻
たくしま	多久島,多久嶋,宅島
たくしょく	拓殖
たくた	卓田
たくの	多久野,宅野
たくはら	宅原
たくび	田首
たくぼ	田久保,田窪
たくま	卓間,宅間,琢磨,田熊,田隈,詫間,詫摩,詫磨
たくみ	工,巧,匠,太組,宅見,宅美,田組,内匠,侘美
たくみだ	工田
たくみや	内匠屋
たくみょう	宅明
たくもり	宅森
たくら	田倉
たくわ	多久和,宅和
たぐい	田杭
たぐさ	田草
たぐさがわ	田草川
たぐさり	田鎖
たぐち	田口
たぐま	田熊
たぐり	田栗
たぐろ	田黒
たけ	竹,武,嶽
たけい	竹位,竹井,竹居,武井,武居
たけいし	竹石,武石
たけいだ	竹居田
たけいち	竹一,竹市,武市
たけいり	竹入
たけうえ	竹上,武上
たけうじ	竹宇治,竹氏
たけうち	建内,竹内,武内
たけうら	竹浦
たけえ	武衛,武江
たけお	竹生,竹尾,武生,武尾
たけおい	竹生
たけおか	竹岡,竹丘,武岡,嶽岡
たけおり	竹折
たけかさ	武笠
たけかた	武方
たけかわ	竹河,竹川,武川
たけがき	竹垣
たけがさ	武笠
たけがた	竹形
たけがはな	竹ヶ鼻
たけがはら	竹ケ原,竹ヶ原
たけがみ	竹上,武上
たけがわ	竹川
たけきし	竹岸
たけきた	竹木田,嶽北
たけきだ	武木田
たけきよ	竹清
たけぎし	竹岸
たけくに	竹国,竹國
たけくま	竹熊,武熊,武隈
たけくら	竹倉
たけぐち	竹口,武口
たけこう	竹厚
たけこし	竹越,竹腰
たけごうち	竹河内
たけごし	竹越,竹腰
たけさか	竹坂
たけさき	竹﨑,竹崎,武崎
たけさこ	竹迫
たけさだ	武貞
たけざき	竹﨑,竹崎,武﨑,武崎,嶽﨑,嶽崎
たけざこ	竹迫
たけざわ	竹沢,竹澤,武沢,武澤,嶽澤
たけし	竹子,武,武士,武志
たけしか	武鹿
たけしげ	竹重,竹茂,武重,武繁
たけした	岳下,竹下,武下
たけしな	竹科
たけしま	竹島,竹嶋,武島,武嶋
たけしろ	武城
たけじ	竹治
たけすえ	竹末,武居,武末
たけその	竹園
たけぞえ	竹添
たけぞの	竹園
たけた	竹田,武田
たけたか	竹高
たけたず	竹田津
たけたつ	竹達,竹田津
たけたづ	竹田津
たけたに	竹谷,武谷
たけだ	建田,多気田,多氣田,竹多,竹田,武多,武田
たけだがわ	武田川
たけだち	竹立
たけち	竹知,竹地,武市,武知,武地,武智
たけつ	竹津
たけつぐ	竹次,武次
たけつな	竹綱
たけつめ	竹爪
たけつる	竹鶴
たけとう	岳藤,武藤
たけとし	竹歳
たけとみ	武富,武冨
たけとも	竹友
たけどみ	武富
たけどめ	竹留
たけな	竹名
たけなえ	竹苗
たけなか	岳中,竹中,竹仲,武中,武仲
たけなが	竹永,竹長,武永,武長
たけなみ	竹波,竹並,竹浪,武南,武波,武並,武濤
たけなわ	竹縄,武縄
たけにし	嵩西,竹西
たけぬき	竹貫
たけの	岳野,竹埜,竹野,武野,嶽野
たけのいり	竹野入
たけのう	竹能
たけのうえ	竹ノ上,竹上,竹之上
たけのうじ	武野氏
たけのうち	竹ノ内,竹内,竹之内,竹野内,武内,武之内
たけのきしん	竹之木進
たけのくち	炬口
たけのくま	竹之隈
たけのこ	竹ノ子
たけのした	竹ノ下,竹之下,竹野下
たけのはな	竹ノ鼻
たけのぶ	竹延,竹信,武信
たけのべ	竹延
たけのもと	竹ノ本
たけのもり	竹森
たけのや	竹野谷
たけのり	竹乘
たけのわき	竹ノ脇
たけはし	竹橋
たけはた	竹端
たけはな	竹花,竹端,竹鼻,武花
たけはま	竹浜
たけはら	嵩原,竹原,武原
たけば	竹場,竹葉,武半
たけばた	竹端
たけばな	竹花
たけばやし	竹林,武林
たけひ	竹樋,武樋
たけひさ	竹久,武久
たけひら	竹平,武平
たけひろ	竹広,竹廣,武廣
たけふ	竹生
たけふし	竹節
たけふじ	竹藤,武藤
たけふた	竹蓋
たけぶち	竹渕,武渕
たけべ	建部,竹部,竹辺,武部,武辺
たけほら	竹洞
たけま	竹間,武馬
たけまえ	竹前
たけまき	竹巻
たけまさ	竹雅,竹政,武政,武正
たけます	竹増
たけまた	竹股,竹俣
たけまつ	竹松,武松
たけまる	竹丸,武丸
たけみ	竹見,竹味,武見
たけみか	武甕
たけみつ	竹光,武光,武満
たけみなみ	武南
たけみや	竹宮,武宮
たけむら	竹村,竹邑,武村,武邑,嶽村
たけむれ	竹牟禮
たけもと	嵩元,竹元,竹本,武元,武本,嶽本
たけもり	竹森,竹盛,武守,武森
たけもん	竹門
たけや	竹屋,竹家,竹谷,武谷
たけやす	竹安,竹保,武安
たけやぶ	竹薮
たけやま	竹山,武山,嶽山
たけやり	武鑓
たけよし	竹吉,武吉
たけわ	竹輪,武輪
たけわか	竹若,武若
たけわき	竹脇,武脇
たけわり	竹割
たげ	田外
たこ	多胡,蛸,田子,鮹
たこい	蛸井
たこう	田光,田幸,田高
たこうだ	竹生田
たこうら	田高良
たこしま	蛸島
たこじま	蛸島,田古島
たこたに	蛸谷
たこない	田子内
たご	多湖,多胡,田悟,田子,夛湖
たごおか	田郷岡
たごく	田極
たごし	田越
たごもり	田篭,田籠
たごや	田頃家
たごやま	田子山
たさ	太佐
たさい	太斉,太齋,田才,田斎,田斉
たさか	田坂,田阪
たさき	多崎,太崎,田﨑,田崎,田先
たさく	田作
たさと	田里
たざき	田崎
たざわ	田沢,田澤
たしお	田塩
たしぐち	田志口
たした	田下
たしぶ	田染,田澁
たしま	田島,田嶋,田嶌
たしも	田下
たしょう	多昌,田生
たしろ	太城,田城,田代
たじ	多司,多地,太治,丹比,田次,田路
たじか	多鹿,田近,田鹿
たじかわ	夛治川
たじた	但田
たじつ	田実,田實
たじの	田地野
たじま	多島,多嶋,太島,但馬,田島,田嶋,田嶌,田嶼,夛島
たじみ	多治見,丹治,田治見
たじめ	田治米
たじり	田㞍,田尻
たじんだ	多神田
たすえ	田末
たすぎ	田杉
たすみ	田角,田隅,田隈
たずのき	尋木
たずみ	田隅
たせ	多瀬,田瀬,田畝,田勢
たぜき	田堰
たぞう	多造,田雑,田蔵
たぞえ	田添,田副
たたい	多田井,田多井
たたえ	湛
たたか	田高
たたき	但木
たたち	田立
たたに	多谷
たたの	多々納,多々野,多田納
たたのう	多々納
たたみ	畳,多々見,多田見,太民
たたみたに	畳谷
たたみだに	畳谷
たたみや	疊屋
たたら	多々良,多田羅,田々楽,鑪,鈩
たたらい	田足井
たたらざこ	鑪迫
たたらの	鑪野
ただ	多田,但田,田多,唯,夛田
ただい	多田井,忠井,唯井
ただいし	只石,忠石
ただいで	多田出
ただうち	多田内,忠内
ただうみ	忠海
ただうら	只浦
ただおか	唯岡
ただか	田高
ただがき	忠垣
ただき	只木,但木,唯木
ただくま	多田隈,只熊,只隈
ただこし	只腰
たださ	只左
ただしま	唯島
ただすえ	忠末
ただち	忠地,田立
ただつ	忠津
ただとも	只友
ただなが	忠永
ただに	多谷
ただの	多々納,多々野,多田野,只埜,只野,但野,唯野,伹野
ただのう	多々納,多多納
ただのぶ	只信
ただふじ	唯藤
ただま	田玉
ただまさ	忠政
ただまつ	只松
ただみ	多田見
ただむら	多田村
ただやす	只安
たち	館,舘,裁,城,多地,太知,太智,太刀,達,田地,立
たちい	舘井,立井
たちいり	立入
たちいわ	立岩
たちうち	釼内
たちおか	立岡
たちかわ	舘川,多知川,太刀川,達川,田地川,刀川,立河,立川
たちかわめ	立川目
たちき	立木
たちざき	立崎
たちざこ	立迫
たちざわ	立澤
たちした	舘下
たちしま	舘島
たちぞの	立薗
たちたに	舘谷
たちだ	舘田
たちなか	立中
たちなみ	立浪
たちなり	立成
たちの	舘野,太刀野,刀野,立野
たちはら	立原
たちばな	館花,舘鼻,橘,多智花,立花
たちばなき	橘木
たちばなぞの	橘園
たちひさ	舘久
たちべ	立部
たちべに	舘紅
たちぼり	立堀
たちみち	立道
たちむら	舘村
たちめ	立目
たちもと	田知本,立元,立本
たちもり	館盛,舘森,舘盛,日月,立森
たちや	立谷,立矢
たちやしき	立屋敷
たちやま	立山
たちわき	立脇
たちわだ	立和田
たぢ	田地
たぢか	田近
たぢから	田力
たっこ	田子
たっそ	達増
たつ	達
たつい	辰井,辰亥,龍井,龍居
たついし	立石
たついち	辰市
たつうま	辰馬
たつお	辰尾
たつおか	辰岡,立岡,龍岡
たつおき	龍興
たつか	達家
たつかみ	立上
たつかわ	達川,辰川,立川,竜川,龍川
たつがえ	龍ヶ江
たつがみ	立神,龍神
たつがわ	立川
たつき	太附,達木,田付,田附,立木,龍城
たつぎ	立木
たつくち	辰口
たつぐち	辰口,竜口,龍口
たつけ	田付,田附
たつこう	立光
たつこし	龍腰
たつざき	立崎
たつざわ	辰澤,立沢,立澤,竜澤,龍沢,龍澤
たつした	達下
たつしま	辰島,立島,龍嶋
たつしろ	達城
たつじり	辰尻
たつた	達田,辰田,立田,竜田,龍田
たつたに	龍谿
たつだに	龍渓
たつづき	田続
たつとみ	達富
たつなか	達中
たつなみ	瀧波,立浪
たつなり	立成
たつに	辰仁
たつの	達野,辰濃,辰野,田角,立野,龍野
たつのくち	龍ノ口,龍口
たつはら	龍原
たつひら	立平
たつぼ	田坪
たつぼり	立堀
たつま	辰間,辰馬,立間
たつみ	選,達身,辰見,辰己,辰巳,巽,田積,立見,龍見,龍湖
たつみさご	辰巳砂
たつみち	立道
たつみや	巽谷
たつむら	辰村,龍村
たつもと	達本,辰元,辰本,立元,立本
たつや	達家
たつやま	達山,立山,竜山,龍山
たつよし	辰吉
たつわき	達脇
たづき	田月,田附
たづけ	太附,田附
たづはら	田津原
たづま	田妻
たづみ	田積
たづめ	田爪
たづや	田鶴谷
たづら	田面
たて	伊達,館,舘,楯,竪,立
たてあき	立秋
たてい	立井
たていし	館石,舘石,建石,楯石,竪石,立石,碣石
たていずみ	舘泉
たていち	館市,舘市
たていり	立入
たていわ	立岩
たてうち	館内,舘内
たてうま	立馬
たてうら	舘浦
たてお	舘尾,立尾
たておか	館岡,舘岡,楯岡,立岡
たてかべ	立壁
たてかわ	建川,楯川,竪川,立川
たてがき	立垣
たてがみ	建守,建上,立上
たてくら	立蔵
たてさか	舘坂
たてさわ	舘澤
たてざき	舘崎,立﨑
たてざわ	舘澤,立澤
たてし	立志
たてした	舘下,達下
たてしま	建島,立嶋
たてずみ	立住
たてだ	館田,舘田,建田,楯田,立田
たてちょう	立町
たてつ	立津
たてでら	舘寺
たてない	蓼内
たてなみ	楯列
たてぬま	舘沼,蓼沼
たての	館農,館野,舘野,建野,竪野,立野
たてのい	立野井
たてはし	立橋
たてはた	建畠,立畠
たてはな	館花,舘花
たてはら	立原
たてば	立場
たてばやし	館林,舘林,建林,楯林,達林,立林
たてひさ	舘久
たてひら	立平
たてふく	立福
たてふじ	立藤
たてべ	建部,立部,立辺
たてほら	舘洞
たてまた	舘股
たてまつ	立松,立枩
たてみ	立見
たてみち	舘道,竪道,立道
たてみつ	立光
たてむら	立村
たてもと	建元,建本,竪本,立元,立本
たてもり	館盛,舘盛
たてや	楯谷,竪谷
たてやま	館山,舘山,建山,竪山,立山
たてわか	立若
たてわき	館脇,帯刀,立脇
たでぬま	蓼沼
たでまる	蓼丸
たでや	田出谷
たでら	田寺
たとう	多束,多東
たところ	田所
たとり	田鳥
たど	多戸,田戸
たどう	田頭
たどころ	田所,田處
たどの	田殿
たどめ	田留
たなあみ	棚網,田名網
たない	棚井,田内
たなえ	多苗,田苗
たなか	多中,太中,田中,田仲
たなかい	田中井
たなかじま	田中嶋
たなかだて	根武谷,田中館,田中舘
たなかまる	田中丸
たなかやしき	田中屋敷
たなが	田永
たながわ	棚川,伹川
たなき	棚木
たなきはら	棚木原
たなくら	棚倉
たなご	田名後
たなさわ	棚沢,棚澤
たなざわ	棚沢,棚澤
たなせ	棚瀬,田名瀬
たなたに	棚谷
たなだ	多奈田,棚田,田灘,田名田
たなつぐ	棚次
たなの	棚野
たなはし	柵橋,棚橋,店橋
たなはら	棚原
たなば	田名場
たなばし	棚橋
たなばた	七夕
たなひら	棚平
たなびき	田靡
たなぶ	田名部
たなべ	多鍋,棚部,棚辺,棚邊,棚邉,田那部,田那辺,田鍋,田南部,田部,田辺,田名部,田邊,田邉
たなぼ	田面
たなまち	棚町
たなみ	多並,田波,田並,田浪
たなむら	棚村,店村,田那村
たなもと	棚元
たなやま	棚山
たに	谷,溪
たにあい	谷合
たにあらし	谷嵐
たにい	谷位,谷井,谷爲
たにいけ	谷池
たにいし	谷石
たにいずみ	谷泉
たにいち	谷一
たにう	谷生
たにうえ	谷上
たにうち	渓内,谷内
たにうら	谷浦
たにえ	谷永,谷江
たにお	谷尾
たにおか	谷岡
たにおく	谷奥
たにかが	谷利
たにかぜ	谷風
たにかた	谷方
たにかめ	谷亀
たにかわ	谷河,谷川
たにが	谷賀
たにがい	谷貝
たにがいち	谷垣内
たにがいと	谷垣内
たにがき	谷垣
たにがしら	谷頭
たにがま	谷釜
たにがみ	谷上
たにがわ	谷河,谷川
たにがわら	谷川原
たにき	谷木
たにぎし	谷岸
たにくら	谷倉
たにぐち	谷口,溪口
たにこし	谷越
たにご	谷後
たにごう	谷郷
たにさか	谷坂
たにさき	谷﨑,谷埼
たにさけ	谷酒
たにさこ	谷迫
たにさだ	谷定
たにさわ	谷澤
たにざき	谷﨑,谷崎
たにざわ	谷沢,谷澤
たにし	田西,田螺
たにしき	谷鋪
たにしげ	谷重,谷繁
たにした	谷下
たにしま	谷島,谷嶋
たにしょ	谷所
たにしょう	谷生
たにしろ	谷城
たにじ	谷治
たにじま	谷嶋
たにじょ	谷所
たにじり	谷尻
たにすえ	谷末
たにずみ	谷住
たにぜき	谷関
たにぞえ	谷添
たにた	谷田
たにだ	谷田
たにち	谷知,谷地
たにちだ	谷地田
たにつ	谷津
たにつぐ	谷次
たにづ	谷津
たにづか	谷塚
たにで	谷出
たにと	谷戸
たにどころ	谷所
たにな	谷名
たにない	谷内
たになか	谷中
たになみ	谷波
たにの	谷野
たにのうえ	谷ノ上
たにのくち	谷ノ口
たにはし	谷端
たにはた	谷端,谷幡,谷畑
たにはら	谷原
たにばた	谷端
たにばやし	谷林
たにひがし	谷東
たにひら	谷平
たにひろ	谷弘
たにふじ	谷藤
たにぶち	谷淵,谷渕
たにほ	谷保
たにぼう	谷坊
たにま	谷間
たにみず	谷水
たにみち	谷道
たにみつ	谷光
たにむかい	谷向
たにむら	渓村,谷村
たにもと	谷元,谷本
たにもり	谷森
たにや	谷屋,谷家,谷谷
たにやま	谷山
たによし	谷吉
たにり	谷利
たにわ	谷輪,谷和
たにわき	谷脇
たぬし	田主
たぬま	田沼
たね	種,多根,太根,田根
たねい	種井,多根井
たねいけ	種池
たねいし	種石
たねいち	種市
たねいね	種稲
たねお	種子尾
たねおい	種生
たねおか	種岡
たねがしま	種子島
たねがわ	種川
たねき	種帰
たねきよ	種清
たねくぼ	種窪
たねくら	種蔵
たねこ	種子
たねご	種五
たねさか	種坂
たねざき	種崎
たねざわ	種澤
たねたに	種谷
たねだ	種子田,種田
たねつぐ	種継
たねの	種子野,種野
たねはし	種橋
たねはら	種原
たねふさ	種房
たねべ	種部
たねむら	種村,種邑
たねも	種茂
たねもと	種元,種本
たねもり	胤森
たねや	種谷
たねやま	実山,種山
たねわた	種綿
たの	多野,田野
たのい	田野井
たのいり	田野入
たのう	太農,田生,田能
たのうえ	田ノ上,田上,田之上
たのうち	田内,田之内
たのおか	田ノ岡,田之岡,田野岡
たのかみ	田上
たのがしら	田之頭
たのくち	田ノ口
たのくら	田之倉,田野倉
たのぐち	田之口,田野口
たのさき	田野崎,田野埼
たのした	田之下,田野下
たのしま	田之島,田野島
たのしも	田下
たのしり	田野尻
たのせ	田野瀬
たのなか	田之中,田野中
たのはた	田ノ畑,田之畑,田野畑
たのはら	田野原
たのべ	田野辺,田野邊
たのほ	田野保
たのみ	田野実
たのむら	田能村,田野村
たのもぎ	頼母木
たのもと	田ノ本,田之本
たのわき	田之脇
たはし	田橋
たはた	田畑
たはら	多原,太原,田原
たはらぐち	田原口
たはらざこ	田原迫
たば	田場
たばこ	煙草,多筥,田筥
たばさき	煙﨑
たばた	多羽田,多幡,多畑,太葉田,田羽多,田旗,田端,田幡,田畑,田畠,把田
たばな	田花
たばむら	多葉村
たばやし	多林,田林
たばら	田原
たばる	田原
たひら	多比良,田平
たびい	旅井
たびかわ	旅河
たびき	田引
たびた	旅田
たびら	田平
たびらき	田開
たふ	袋布
たふく	田福
たふさ	田房
たふし	田伏
たふせ	田伏
たふる	田古
たぶ	椨
たぶき	田吹
たぶくろ	田袋
たぶさ	田房
たぶし	田伏
たぶせ	田臥,田伏
たぶち	多淵,田縁,田淵,田渕
たぶと	田太
たぶのき	天竺桂,椨木
たべ	多部,多辺,田倍,田部,田辺
たべい	田部井
たべた	多部田
たべや	田部谷,田邉谷
たべり	田縁
たほ	田甫
たほう	多宝
たぼ	多保,田保,田甫
たぼがみ	田母神
たぼた	多保田
たま	玉麻,田間,田广
たまい	玉伊,玉井,玉居,田舞
たまいこ	玉居子
たまいし	玉石
たまいずみ	玉泉
たまうえ	玉上
たまうち	玉内
たまうら	玉浦
たまえ	玉栄,玉江,玉榮,田前
たまお	玉生,玉尾
たまおか	玉岡
たまおき	玉沖,玉置
たまかけ	玉懸
たまかし	玉柏
たまかわ	玉川
たまがい	玉飼
たまがき	玉垣
たまがけ	玉掛,玉懸
たまがみ	玉上
たまがわ	玉河,玉川
たまき	環,玉樹,玉城,玉生,玉置,玉木,田巻,田牧
たまくに	玉国,玉國
たまくま	玉熊
たまくら	霊鞍
たまぐすく	玉城
たまこ	玉古
たまこし	玉越,玉腰
たまごし	玉越
たまさき	玉崎
たまさく	玉作
たまざき	玉崎
たまざわ	玉沢,玉澤
たましげ	玉重
たましま	玉島
たましろ	玉城
たまじ	玉地
たます	田舛
たませ	玉瀬
たまそ	玉祖
たまた	玉田,田又
たまたに	玉谷
たまだ	玉田
たまだて	玉舘
たまち	玉地,玉池,田町
たまつ	玉津,田松
たまつか	玉塚
たまつくり	玉作,玉造
たまつしま	玉津島
たまて	玉手
たまなか	玉中
たまなが	玉永
たまなは	玉那覇
