あいいちろう	愛一朗,愛一郎,藍一朗,藍一郎,愛一朗,愛一郎,藍一朗,藍一郎
のぶきよ	叙清,伸清,伸聖,信馨,信潔,信浄,信清,信精,信聖,信雪,信淨
のぶしげ	伸滋,伸重,伸繁,伸茂,信薫,信滋,信重,信成,信繁,信蕃,信茂,誠成,陳重
のぶすけ	延祐,言輔,修右,伸介,伸助,伸輔,伸亮,信右,信介,信佐,信資,信助,信相,信舗,信輔,信亮,宣助
のぶたか	允堯,延孝,延高,寛峰,喜貴,宜伯,薫毅,恒貴,寿賢,修崇,順孝,将隆,伸貴,伸孝,伸昂,伸剛,伸臣,伸任,伸隆,信貴,信喬,信敬,信孝,信考,信高,信峻,信尚,信崇,信嵩,信尊,信天,信登,信宝,信隆,信堯,申峻,進鷹,誠剛,宣教,宣孝,宣高,宣尚,宣隆,惣隆,暢貴,暢孝,暢高,暢嵩,暢隆,展嵩,敦崇,望誉,亘貴,頌孝,頌大佳
のぶたけ	伸高,信威,信岳,信健,信建,信剛,信竹,信武,信孟,信猛,信勇,信雄,信赳,陳武,展丈
のぶただ	応忠,業直,寿賢,伸正,伸只,伸但,伸忠,伸唯,信維,信君,信宰,信正,信只,信但,信忠,信任,信唯,暢惟
のぶたろう	延太郎,伸多郎,伸太朗,伸太郎,信多朗,信多郎,信太朗,信太郎
のぶてる	延輝,寛明,伸輝,伸光,伸晃,伸照,信輝,信光,信照,宣輝,宣光,宣照,展照,亘輝
のぶと	延人,延兎,経人,伸人,伸斗,伸渡,伸登,伸都,伸翔,信人,信仁,信遂,信斗,信渡,信登,信都,信飛,信豊,信翔,進斗,宣人,宣翔,聡乙,暢人,暢斗,展人,登戸,庸人,葉人,頌人
のぶとし	延寿,延俊,延年,喜稔,恒俊,昇俊,伸寿,伸俊,伸年,伸敏,信紀,信歳,信寿,信淑,信俊,信年,信敏,信利,暢寿,暢年,暢利,陳利,亘利
のぶとも	修朝,伸知,伸智,信委,信供,信共,信知,信智,信朝,信伴,信朋,信友,信与,信侶,信與
のぶなお	伸尚,伸直,伸猶,信尚,信直,信猶,宣尚,宣直,宣猶,展直
のぶなが	のぶなが,喜長,経永,信長
のぶはる	喜遥,史陽,修春,修晴,序治,伸春,伸晴,信映,信栄,信温,信治,信春,信晴,信張,信悠,信遥,信陽,信遙,宣治,宣青,暢治,暢晴,暢悠,葉遥,亘晴
のぶひこ	允彦,延彦,喜彦,宜彦,啓彦,述彦,伸彦,信彦,宣彦,暢彦,陳彦,展彦,寅彦,敦彦,乃武彦,野武彦
のぶひさ	延寿,延尚,喬悠,修久,順久,伸久,伸恒,伸寿,伸尚,信久,信旧,信古,信恒,信寿,信尚,信之,信弥,信悠,晋久,誠尚,宣久,宣寿,暢久,暢悠,展久,庸尚,頌久
のぶひで	延秀,薫秀,伸偉,伸英,伸豪,伸秀,信偉,信栄,信英,信秀,信榮,宣偉,宣英,宣秀,暢英,暢秀,展秀,敷秀
のぶひと	惟仁,永倫,延仁,昇仁,伸一,伸人,伸仁,伸斉,伸等,信一,信人,信仁,信斉,信等,進人,誠人,宣人,宣仁,聡一,暢人,登仁,遥仁,頌仁
のぶひろ	延寛,延啓,延浩,延泰,延大,延博,延廣,宜弘,訓弘,啓広,啓博,恒大,史裕,寿洋,修宏,修弘,順大,順裕,将嘉,将大,昇弘,常寛,常泰,伸啓,伸宏,伸広,伸弘,伸浩,伸大,伸博,伸洋,伸廣,信寛,信啓,信宏,信広,信弘,信浩,信紘,信尋,信大,信博,信淵,信祐,信裕,信洋,信廣,進敬,進弘,宣宏,宣広,宣弘,宣浩,宣大,宣博,暢啓,暢宏,暢浩,暢大,暢彦,陳広,展啓,展弘,展優,展裕,敦弘,敦大,敦彦,敦裕,裕泰,亘宏,亘広,亘弘,敍央
のぶまさ	惟仁,永将,延匡,述正,殖政,伸匡,伸公,伸勝,伸将,伸昌,伸政,伸正,伸優,信応,信雅,信匡,信勝,信将,信昌,信政,信正,信大,信当,信柾,信優,信將,進昌,宣雅,宣政,宣正,暢正,展将,展正,遥柾,亘将,遙柾
のぶや	允哉,江哉,修也,伸哉,伸武也,伸也,伸耶,伸弥,伸矢,信哉,信舎,信也,信耶,信弥,信矢,宣也,宣弥,暢哉,暢也,直哉,展也,展弥,能舞也,頌弥
のぶやす	允康,修康,伸安,伸恭,伸康,伸泰,伸保,伸靖,信安,信易,信億,信穏,信休,信恭,信康,信泰,信保,信靖,信裕,整鎮,宣保,暢康,暢泰,展康,展靖,布康,庸靖,葉叶,亘恭,亘康
のぶゆき	永祥,延介,延亨,延幸,延行,延至,延之,演之,寛之,宜幸,啓之,恒之,修介,修亨,修行,修之,叙征,将幸,伸介,伸亨,伸幸,伸行,伸志,伸如,伸之,信維,信往,信起,信亨,信恭,信敬,信孝,信幸,信行,信志,信順,信征,信雪,信之,信侑,宣亨,宣幸,宣行,宣践,宣之,暢亨,暢幸,暢行,暢之,展亨,展幸,展征,展千,敦之,靖亨,靖行,庸亨,亘行,將,頌幸
のぶよし	延佳,延義,延吉,延好,延由,経惟,修義,秀俊,伸佳,伸嘉,伸義,伸吉,伸圭,伸慶,伸剛,伸祥,伸良,信愛,信栄,信佳,信嘉,信賀,信喜,信儀,信宜,信義,信吉,信恵,信慶,信好,信淑,信精,信善,信能,信美,信彬,信福,信芳,信弥,信由,信与志,信良,誠芳,宣嘉,宣義,宣吉,宣善,暢芳,展義,展吉,展良,敦義,敦康,庸好,亘慶,亘亮
のぼる	のぼる,格,昇,昇流,昇留,昇龍,昇瑠,上,遡,登瑠,東生,謄,騰,陛
のりあき	のりあき,愛彬,云瑛,永彬,応昭,雅彬,寛彬,基彰,毅彰,毅昭,紀顕,紀光,紀晃,紀彰,紀昭,紀章,紀明,規瑛,規顕,規晃,規彰,規昭,規照,規明,記士,記章,儀彰,義彬,義明,恭彰,恭彬,教秋,教彰,教章,教明,矩明,勲彰,訓右,訓彰,訓章,啓旺,啓彰,慶旺,慶彰,慶明,敬彰,敬明,憲義,憲暁,憲顕,憲昂,憲秋,憲彰,憲招,憲昭,憲晶,憲照,憲章,憲明,権明,謙彰,玄晟,功章,孝顕,剛彰,載章,識哲,周聖,昇明,肖昭,乗映,伸憲,仁昭,仁彬,仁明,仁亮,尋昭,成晃,成昭,政昭,誠彬,宣昭,宣晶,宣明,則右,則秋,則彰,則昭,則明,存昭,知昭,智紀,智顕,智章,忠昭,朝昭,哲彰,哲章,哲明,哲朗,典晃,典秋,典昭,典章,典明,統映,統昭,徳昭,徳章,徳彬,徳明,徳亮,乃理秋,伯明,範顕,範彰,範昭,範明,範亮,文昭,甫昭,穂昭,法昭,法哲,法明,法朗,稔彬,明昭,頼晃,利菊,利彰,利昭,利彬,理彰,律陽,了明,倫明,令哲,令彬,礼彬,論昭,穗亮
のりお	のりお,紀男,紀夫,紀雄,紀郎,規生,規男,規夫,規雄,規郎,宜央,教生,教男,教夫,教雄,教郎,矩大,矩男,訓央,訓生,訓男,敬雄,憲央,憲緒,憲生,憲男,憲夫,憲芙,憲雄,憲郎,悟生,功男,功雄,恒雄,史雄,式夫,順夫,昇男,詔雄,乗生,乗男,乗夫,乗雄,宣男,宣夫,宣雄,則紀,則生,則男,則尾,則夫,則雄,則郎,智夫,哲央,典央,典士,典生,典男,典夫,典雄,典郎,登勇,統雄,徳生,徳男,徳夫,徳雄,能夫,能理男,範生,範男,範夫,範雄,法央,法王,法生,法男,法夫,法雄,野理夫,野里生,倫朗,令夫,礼央
のりかず	のり一,益和,毅一,紀一,紀和,規一,規和,記一,教一,教和,矩和,慶一,憲一,憲員,憲胤,憲計,憲算,憲収,憲順,憲数,憲知,憲量,憲和,章一,詔一,乗一,乗和,宣一,宣和,則一,則数,則和,哲一,典一,典計,典和,得和,徳一,徳和,伯和,範一,範和,命和,理和,倫一
のりき	紀機,紀宜,紀樹,憲輝,昇己,宣機,宣輝,典清,範樹,法機,法紀
のりたか	寛陽,鑑孝,基孝,紀貴,紀孝,紀隆,規貴,規隆,軌隆,教貴,教孝,教考,教高,教尚,教隆,憲貴,憲喬,憲敬,憲孝,憲高,憲峻,憲崇,憲嵩,憲生,憲尊,憲隆,士貴,至貴,識尚,昇孝,慎高,慎和,仙卓,宣隆,則貴,則孝,則天,則隆,哲太,典孝,典臣,典隆,統隆,徳孝,徳高,範高,法貴,法孝,法崇,法隆,明孝,律貴,令孝,令高,礼孝,礼高
のりたけ	のりたけ,永健,永虎,寛武,毅武,紀武,規威,規武,敬丈,敬武,憲威,憲岳,憲健,憲剛,憲武,憲孟,憲猛,憲雄,憲赳,誠健,則竹,則武,知武,典丈,徳健,徳武,文武
のりただ	教忠,憲正,憲只,憲但,憲忠,憲唯,乗唯,宣唯,則旦,則忠,知正,典唯,徳忠,範忠,法正,法只,法但,法忠,法唯,律匡,礼忠
のりたろう	憲多朗,憲多郎,憲太朗,憲太郎,典太郎,法多郎,法太朗,法太郎
のりちか	基元,紀親,規周,教親,啓真,憲哉,憲史,憲慈,憲周,憲慎,憲親,憲睦,功睦,宗慶,宣親,智哉,典直,徳臣,徳親,範親,法哉,法慈,法周,法親,法睦,緑睦,緑悠,令周
のりてる	規輝,規光,規照,教輝,憲輝,憲光,憲照,則照,法輝,法光,法照
のりと	德人,のりと,位人,慰翔,寛人,寛斗,紀人,紀仁,紀斗,紀翔,教士,教仁,矩豊,敬人,憲人,憲斗,憲渡,憲登,憲都,悟人,孝人,識豊,実士,祝人,宣人,宣杜,則斗,智人,智仁,智斗,智都,典人,典斗,徳人,徳都,徳刀,乃理人,法人,法斗,法渡,法登,法都,律人,律斗,礼人,礼仁
のりとも	格知,紀智,紀友,記知,記智,教具,教朝,憲委,憲供,憲共,憲知,憲智,憲致,憲朝,憲伴,憲朋,憲友,憲侶,乗具,則友,了知
のりはる	教春,憲映,憲栄,憲温,憲治,憲春,憲晴,憲悠,憲遥,憲陽,憲遙,権大,則治,徳治
のりひこ	のりひこ,紀彦,規彦,記彦,教彦,矩彦,啓彦,憲比古,憲彦,謙彦,載彦,式彦,乗彦,宣彦,則彦,典比古,典彦,徳彦,乃浬彦,乃里彦,範彦,方彦,法彦,野理彦,倫彦
のりひさ	紀久,紀寿,紀尚,規良,教久,訓久,敬久,憲久,憲恒,憲寿,憲尚,憲弥,憲悠,周久,祝寿,慎久,則久,則寿,哲久,典久,典仙,徳久,徳寿,範久,法久,法恒,法寿,法尚
のりひで	季寿,紀英,紀寿,規偉,規英,規秀,記寿,軌秀,宜寿,教英,教寿,教秀,憲偉,憲英,憲秀,祝秀,章寿,乗英,乗秀,則英,則秀,哲嗣,典秀,統英,徳英,徳秀,範英,範秀,法偉,法英,法秀,倫寿,令英
のりひと	紀人,紀仁,規人,記士,義士,教人,教仁,敬公,憲一,憲史,憲人,憲仁,憲斉,憲等,謙仁,玄仁,章人,宣仁,則人,則仁,哲士,典人,典仁,道仁,徳人,徳仁,範人,範仁,法一,法人,法仁,法斉,法等,律仁,穗仁
のりひろ	永優,寛弘,紀寛,紀宏,紀博,紀裕,紀洋,規啓,記大,宜広,教寛,教広,教弘,矩大,敬尋,憲寛,憲啓,憲宏,憲広,憲弘,憲浩,憲泰,憲大,憲拓,憲博,憲裕,憲洋,謙宏,実啓,昇洸,慎弘,仁洋,制洋,宣広,則宏,則広,則博,朝大,典宏,典弘,典鴻,典大,典優,典裕,典洋,統洋,徳宏,徳広,徳弘,徳大,徳博,徳優,範宏,範紘,法広,法浩,法大,律弘,了洋,倫宏,令蒼
のりふみ	寛史,紀郁,紀史,紀章,紀典,紀文,規郁,規史,規章,規典,規文,記史,儀史,儀章,儀典,儀文,訓史,憲史,憲書,憲章,憲文,詞史,詞文,則文,知史,忠良,哲史,典史,典章,徳郁,徳文,法史,法書,法章,法文,律志,律文,倫史
のりまさ	紀雅,紀勝,紀昌,紀政,紀方,紀榮,規真,規政,規正,騎雅,騎正,教政,教正,教端,慶仁,敬正,憲雅,憲賢,憲勝,憲将,憲昌,憲征,憲政,憲正,憲大,憲方,憲柾,憲優,憲將,識勝,詮政,則雅,則賢,則政,則正,哲成,典雅,典正,徳雅,徳将,徳昌,徳政,徳全,伯正,範将,範昌,範政,陛匡,律匡,令将,礼雅,禮雅
のりや	愛也,営也,永也,永弥,益也,益矢,応哉,応弥,雅也,駕哉,学弥,学矢,勘矢,官弥,寛也,寛矢,閑也,期也,毅哉,季矢,紀哉,紀八,紀也,紀弥,紀矢,規矢,記矢,宜也,宜弥,義也,卿也,尭弥,業也,訓也,芸弥,憲哉,憲也,憲弥,悟矢,行哉,斯也,勝也,則哉,則也,知弥,智哉,智也,忠弥,忠矢,朝也,哲哉,哲也,典哉,典也,典弥,典矢,伝哉,登也,徳哉,徳八,徳也,徳弥,任哉,伯哉,伯弥,範哉,範八,範也,範弥,範矢,文哉,文也,甫哉,甫弥,穂哉,穂也,法哉,法八,法也,法弥,法矢,稔也,明弥,明矢,誉也,遥也,利哉,利弥,理矢,里哉,倫矢,令弥,礼弥,論哉,論也,堯也,遙也
のりゆき	紀亨,紀幸,紀行,紀之,規亨,規幸,規行,規之,記之,教亨,教幸,教行,教之,矩亨,矩幸,矩行,矩之,訓行,敬之,憲維,憲往,憲起,憲亨,憲恭,憲幸,憲行,憲征,憲雪,憲通,憲之,憲侑,謙介,謙如,孝志,孝之,載之,識之,周幸,純志,昇幸,慎征,誠行,則亨,則幸,則行,則之,哲之,典亨,典恭,典幸,典行,典征,典之,統之,徳亨,徳幸,徳行,徳之,徳文,範亨,範幸,範行,範之,法幸,法之,稔行,律行,律志,倫之,礼之,禮幸
のりよし	位吉,紀佳,紀吉,紀芳,紀良,規勝,義巧,教義,教吉,矩良,敬佳,憲栄,憲佳,憲嘉,憲喜,憲義,憲吉,憲好,憲淑,憲善,憲美,憲良,玄義,孝好,昇貴,昇禎,仙好,宣福,則休,則善,則良,知与支,忠佳,哲克,典佳,典義,典好,典芳,典由,典良,徳義,徳美,乃嘉,範義,範慶,範良,律志,了惠,禮義
はあと	羽亜人,羽亜斗,羽愛叶,羽愛斗,心形,心人,心斗,把阿土,琶愛透
はいね	貝音
はうる	羽宇琉,羽潤,羽佑琉,晴潤,動城
はくと	はくと,羽久説,羽久斗,羽久登,羽久利,羽玖斗,羽玖都,羽玖翔,羽空人,羽空飛,羽来斗,羽來人,羽來斗,映空斗,映空翔,春空人,春來斗,晴久翔,晴玖斗,晴玖豊,巴来翔,覇久人,覇人,覇琥人,波玖人,波玖斗,波徠斗,伯音,伯叶,伯虎,伯人,伯仁,伯説,伯斗,伯都,伯冬,伯豊,伯友,伯翔,博士,博人,博説,博斗,博登,博翔,拍人,拍説,拍斗,柏音,柏人,柏斗,柏翔,泊人,白玖翔,白虎,白士,白人,白説,白兎,白斗,白杜,白登,白途,白都,白透,白橙,白琥,白翔,箔斗,箔翔,舶士,舶人,舶斗,舶渡,舶登,舶都,舶翔,迫斗,百人,百都,百翔,朴翔,葉空斗,葉来翔,珀永,珀音,珀叶,珀虎,珀采,珀士,珀十,珀人,珀仁,珀澄,珀説,珀兎,珀斗,珀杜,珀渡,珀登,珀都,珀冬,珀桃,珀燈,珀飛,珀友,珀留,珀竜,珀龍,珀和,珀橙,珀琥,珀翔
はくま	はくま,伯守,伯真,伯馬,博真,拍真,泊馬,白真,白馬,白眞,白茉,迫真,珀真,珀馬,珀摩,珀磨,珀魔,珀麻
はじめ	祖,はじめ,はぢめ,ハジメ,一夏,一芽,一肇,壱,羽二目,魁,業,元人,元惠,原,源,載,始要,淑,祝,初芽,初要,晴士人,祖,創,創芽,創人,創要,端,端芽,馳慈芽,兆,統,巴児目,巴次目,巴治目,巴路目,波志芽,波治目,肇,肇芽,肇人,肇明,甫,本,孟,葉治芽,葉寿芽
はなみち	はなみち,英慶,英導,英倫,花通,花導,花道,花満,花陸,華三千,華道,華満,華理
はやお	逸生,逸夫,快生,駿於,駿雄,捷郎,早央,早王,早生,早男,早夫,早雄,早郎,速王,速男,速夫,速雄,覇矢男,隼央,隼緒,隼生,隼夫,隼雄,隼郎,葉也男,颯生
はやき	駿輝,早葵,早希,早輝,覇也希,隼希,隼紀,隼輝,勇希,勇己,颯葵,颯希,颯稀,颯輝,颯暉
はやせ	はやせ,逸世,逸勢,羽矢世,映椰世,敬瀬,駿世,駿成,迅世,迅瀬,迅晴,早瀬,速瀬,馳生,覇矢世,隼世,隼瀬,隼勢,隼成,隼星,隼生,隼盛,隼聖,勇世,勇生,颯世,颯瀬,颯勢,颯成,颯星,颯聖,颯惺
はやた	はやた,逸多,逸太,逸大,快多,快太,快泰,駿太,駿汰,駿大,捷太,捷汰,迅太,迅汰,迅駄,迅泰,晴弥太,早多,早太,早汰,早大,速多,速太,速大,馳太,馳大,隼貴,隼多,隼太,隼汰,隼泰,隼大,隼逞,敏多,敏太,敏汰,勇多,勇太,勇汰,勇泰,勇大,颯多,颯太,颯汰,颯泰,颯大
はやて	はやて,羽矢輝,疾風,疾颯,駿颯,迅輝,迅徹,迅天,晴颯,早矢手,速風,隼輝,隼照,隼天,隼颯,勇天,颯輝,颯照,颯天,颯豊
はやと	はやと,逸叶,逸兜,逸十,逸人,逸仁,逸大,逸斗,逸登,逸都,逸飛,逸豊,逸友,逸利,逸翔,羽哉人,羽哉斗,羽矢人,羽矢斗,羽矢翔,羽陽翔,鋭兜,鋭登,鋭飛,快音,快兜,快采,快人,快仁,快征,快跳,快斗,快登,快飛,快翔,兄矢斗,敬士,敬人,敬斗,敬土,敬統,健人,剣士,剣斗,剣飛,疾兜,疾人,疾仁,疾斗,疾登,疾都,疾飛,疾風,疾橙,疾翔,駿音,駿叶,駿戸,駿虎,駿采,駿士,駿十,駿人,駿仁,駿図,駿大,駿徹,駿兎,駿斗,駿杜,駿登,駿都,駿隼,駿飛,駿利,駿橙,駿翔,準人,捷兜,捷士,捷人,捷仁,捷斗,捷登,捷隼,捷豊,捷翔,迅音,迅兜,迅人,迅仁,迅説,迅大,迅斗,迅杜,迅登,迅都,迅砥,迅飛,迅友,迅利,迅翔,晴弥人,晴弥斗,早永,早兜,早十,早人,早説,早斗,早杜,早渡,早登,早都,早砥,早飛,早利,早翔,速永,速兜,速十,速人,速説,速斗,速登,速都,速飛,速翔,端也斗,馳叶,馳士,馳人,馳斗,馳登,馳透,馳翔,巴哉十,巴哉人,巴哉斗,巴也十,巴也人,巴也斗,巴耶斗,巴弥斗,巴已十,覇哉登,覇也斗,波哉斗,波也翔,波弥人,波陽士,芭也斗,隼々,隼一,隼永,隼乙,隼音,隼叶,隼虎,隼采,隼士,隼疾,隼十,隼臣,隼人,隼仁,隼説,隼聡,隼太,隼大,隼跳,隼兎,隼斗,隼杜,隼渡,隼登,隼途,隼都,隼土,隼冬,隼刀,隼燈,隼徳,隼飛,隼百,隼敏,隼門,隼也人,隼利,隼和,隼翔,隼遙,敏采,敏人,敏斗,敏翔,楓斗,勇音,勇叶,勇士,勇人,勇仁,勇聡,勇斗,勇渡,勇登,勇途,勇都,勇任,勇飛,勇百,勇与,勇翔,悠図,葉哉都,葉也都,葉矢十,葉矢人,葉矢斗,葉矢都,蓮飛,颯一,颯乙,颯音,颯叶,颯亨,颯虎,颯采,颯士,颯疾,颯十,颯人,颯仁,颯説,颯大,颯徹,颯兎,颯徒,颯斗,颯杜,颯登,颯途,颯都,颯土,颯冬,颯桃,颯透,颯隼,颯飛,颯百,颯門,颯友,颯利,颯橙,颯翔
はやひで	逸英,逸秀,駿英,早英,早秀,速英,速秀
はやぶさ	勇英
はゆき	颯雪
はゆま	はゆま,羽悠真,羽裕眞,羽夕真,羽侑真,映夕真,端遊馬,跳悠真,跳柚真,跳侑真,隼磨,葉悠真,颯真
はゆみ	葉由美
はゆる	羽由瑠
はるあき	栄明,温瑛,温晶,元晃,玄明,桜晃,治彰,治夫,治明,治朗,春暁,春顕,春光,春昂,春晃,春秋,春彰,春招,春昭,春晶,春章,春誠,春明,晴瑛,晴暁,晴啓,晴敬,晴晃,晴秋,晴昭,晴晶,晴章,晴成,晴誠,晴詮,晴彬,晴明,晴耀,晴亮,晴晨,晴暉,晴煌,青亜樹,大燿,暖暁,暖晶,暖晋,暖明,暖耀,波琉昭,美暁,悠旭,悠瑛,悠央,悠暁,悠顕,悠晃,悠秋,悠彰,悠昭,悠晶,悠信,悠彬,悠明,悠耀,悠朗,遥啓,遥明,遥耀,遥朗,陽瑛,陽紀,陽久,陽暁,陽晃,陽彰,陽昭,陽章,陽旦,陽彬,陽明,陽耀,陽朗,陽暉,遼暁,遼晃,遼昌,遼諒,遼朗,遼晄,遙明,遙昊
はるい	はるい,元意,春伊,春亥,春泉,春唯,榛威,晴依,晴惟,巴涙,悠依,葉塁,遥一,遥唯,陽依,陽唯,遼生
はるいちろう	晴一朗,晴一郎
はるうみ	温海,青宇実
はるお	はるお,温男,温夫,開生,元夫,桜士,始央,始緒,治央,治男,治夫,治雄,春於,春央,春生,春大,春男,春夫,春峰,春雄,春郎,晴央,晴生,晴男,晴夫,晴雄,晴琉男,晴朗,晴郎,大雄,波留夫,悠央,悠雄,遥央,陽男,陽雄,陽櫻
はるおみ	映臣,栄臣,温臣,華臣,玄臣,桜臣,治臣,春臣,榛臣,晴臣,青緒深,青臣,暖臣,東臣,悠臣,遥臣,陽臣,遼臣,令臣,遙臣
はるかず	治一,治和,春一,春員,春計,春算,春収,春順,春数,春知,春量,春和,晴一,晴員,晴千,陽一,陽和,遼一,遙一
はるかぜ	温風,治風
はるき	はるき,はる希,はる貴,はる輝,絢葵,絢衣,絢希,絢貴,絢煌,羽流希,羽琉希,羽琉樹,羽瑠輝,羽瑠妃,栄葵,栄幹,栄伎,栄喜,栄基,栄希,栄揮,栄季,栄稀,栄紀,栄規,栄貴,栄樹,栄煌,温喜,温希,温揮,温季,温稀,温紀,温貴,温輝,温騎,温己,温樹,温生,花樹,華葵,華希,華幾,華季,華貴,華輝,華己,華樹,華流貴,華琉希,華琉季,華綺,開輝,喜希,喜稀,喜紀,喜貴,啓幹,啓希,啓揮,啓気,啓貴,啓輝,啓樹,啓生,啓暉,元基,元希,元揮,元稀,元紀,元貴,元輝,元樹,元煌,元絆,玄葵,玄基,玄希,玄機,玄毅,玄季,玄桔,玄己,玄樹,玄生,玄來,玄暉,玄麒,浩葵,浩希,浩輝,浩生,浩槻,合希,桜葵,桜喜,桜基,桜希,桜祈,桜季,桜紀,桜輝,桜樹,桜城,桜清,桜木,桜来,桜暉,桜煌,桜綺,始葵,始希,始稀,始貴,始輝,始樹,始綺,時生,治葵,治幹,治喜,治基,治希,治揮,治旗,治毅,治祈,治季,治稀,治紀,治貴,治起,治輝,治己,治樹,治城,治生,治来,治暉,治煌,治熙,春葵,春伎,春喜,春基,春嬉,春岐,春希,春揮,春毅,春気,春畿,春祈,春季,春稀,春紀,春規,春記,春貴,春起,春軌,春輝,春騎,春亀,春宜,春芹,春碁,春幸,春枝,春樹,春城,春生,春槻,春木,春来,春利,春琉樹,春來,春暉,春煌,春綺,昭希,昭稀,昭輝,昭樹,榛幹,榛基,榛希,榛毅,榛稀,榛紀,榛貴,榛輝,榛樹,榛生,榛暉,晴葵,晴旭,晴乙,晴幹,晴伎,晴喜,晴基,晴岐,晴希,晴揮,晴毅,晴気,晴祈,晴季,晴稀,晴紀,晴規,晴記,晴貴,晴起,晴軌,晴輝,晴騎,晴亀,晴義,晴桔,晴久,晴暁,晴公,晴幸,晴哉,晴枝,晴樹,晴祥,晴章,晴城,晴粋,晴生,晴大,晴木,晴来,晴琉喜,晴琉希,晴琉季,晴琉樹,晴瑠紀,晴瑠輝,晴來,晴暉,晴煌,晴絆,晴綺,晴麒,青希,青季,青稀,青貴,青輝,青桔,青己,青樹,青城,青来,青來,青暉,青煌,大葵,大幹,大喜,大希,大揮,大旗,大祈,大季,大稀,大紀,大記,大貴,大起,大軌,大輝,大騎,大響,大樹,大林,大暉,大煌,大絆,暖葵,暖喜,暖基,暖希,暖揮,暖祈,暖季,暖稀,暖紀,暖規,暖貴,暖輝,暖桔,暖久,暖己,暖甲,暖哉,暖樹,暖生,暖大,暖木,暖來,暖絆,暖綺,知基,知希,知貴,知輝,知樹,知生,馳琉希,張貴,東希,東紀,東貴,東輝,東樹,東暉,日葵,日喜,日稀,日紀,日規,日樹,覇貴,覇輝,覇樹,覇流己,覇琉輝,覇瑠貴,杷琉輝,波琉希,波琉輝,波留輝,波瑠希,波瑠祈,波瑠紀,波瑠貴,波瑠輝,波瑠樹,波瑠来,波瑠暉,琶瑠輝,八瑠樹,美稀,美貴,美輝,朋希,明喜,明毅,明季,明紀,明貴,明起,明玖,明己,明樹,明利,明暉,冶樹,悠葵,悠牙,悠幹,悠伎,悠喜,悠基,悠嬉,悠岐,悠希,悠揮,悠旗,悠期,悠棋,悠毅,悠季,悠稀,悠紀,悠記,悠貴,悠起,悠軌,悠輝,悠騎,悠桔,悠久,悠響,悠己,悠碁,悠幸,悠樹,悠城,悠粋,悠大,悠槻,悠姫,悠箕,悠木,悠来,悠琉希,悠來,悠暉,悠煌,悠綺,葉流起,葉流生,葉琉輝,葉琉樹,葉瑠貴,葉瑠輝,葉瑠樹,遥葵,遥衣,遥幹,遥伎,遥喜,遥基,遥嬉,遥岐,遥希,遥幾,遥揮,遥旗,遥棋,遥毅,遥気,遥祈,遥季,遥稀,遥紀,遥規,遥記,遥貴,遥起,遥軌,遥輝,遥騎,遥桔,遥響,遥己,遥碁,遥公,遥幸,遥哉,遥枝,遥樹,遥城,遥生,遥大,遥槻,遥木,遥来,遥來,遥暉,遥煌,遥綺,遥麒,陽王,陽乙,陽幹,陽伎,陽喜,陽基,陽奇,陽嬉,陽幾,陽揮,陽期,陽毅,陽気,陽汽,陽季,陽稀,陽紀,陽規,陽貴,陽起,陽軌,陽輝,陽騎,陽桔,陽橘,陽久,陽弓,陽暁,陽玖,陽己,陽幸,陽行,陽樹,陽城,陽粋,陽大,陽木,陽来,陽利,陽李,陽琉希,陽林,陽來,陽暉,陽氣,陽煌,陽絆,陽綺,陽熙,立祈,立季,立樹,立其,良喜,良希,良月,良樹,良來,遼葵,遼乙,遼喜,遼基,遼嬉,遼希,遼毅,遼気,遼祈,遼季,遼稀,遼紀,遼貴,遼起,遼軌,遼輝,遼騎,遼己,遼碁,遼樹,遼城,遼生,遼暉,令葵,令乙,令希,令揮,令祈,令季,令稀,令紀,令貴,令輝,令騎,令己,令樹,令秋,令暉,蓮暉,晏基,晏希,晏季,晏貴,晏輝,晏己,晏樹,晏生,榮基,榮樹,榮瑠輝,脩葵,脩希,脩貴,脩樹,脩生,遙葵,遙磯,遙喜,遙基,遙嬉,遙希,遙毅,遙季,遙稀,遙紀,遙規,遙記,遙貴,遙輝,遙響,遙月,遙己,遙碁,遙幸,遙樹,遙城,遙生,遙来,遙暉,遙絆,遙麒
はるく	はるく,栄玖,栄駆,栄功,温玖,温空,温來,喜久,元琥,桜玖,桜來,治空,春久,春玖,春矩,春駈,春空,春来,春琉空,春來,春琥,榛琥,晴丘,晴久,晴玖,晴駆,晴空,晴紅,晴来,晴琉久,晴來,晴徠,晴琥,暖久,暖空,暖紅,暖琥,日琥,波瑠來,悠久,悠玖,悠駆,悠空,悠功,悠來,悠琥,葉琉空,葉瑠空,遥久,遥玖,遥矩,遥駆,遥空,遥公,遥來,陽久,陽空,陽公,陽功,陽紅,陽来,陽琥,遼久,遼玖,遼空,遙玖,遙空
はるし	はるし,治司,治史,治嗣,治士,治志,治至,春司,春史,春嗣,春士,春志,春至,晴司,晴史,晴嗣,晴士,晴志,晴至,暖司,暖志,暖思,暖糸,暖資,暖偲,悠司,悠士,悠詩,遥司,遥史,遥嗣,遥士,遥志,遥至,陽史,陽士,陽志,陽獅,陽紫,遼志
